"filename", "language", "XML", "Python", "Markdown", "toml", "pip requirements", "comment", "blank", "total"
"/Users/dkphhh/dev/easy-office/.idea/easy-office.iml", "XML", 14, 0, 0, 0, 0, 0, 0, 14
"/Users/dkphhh/dev/easy-office/.idea/inspectionProfiles/profiles_settings.xml", "XML", 6, 0, 0, 0, 0, 0, 0, 6
"/Users/dkphhh/dev/easy-office/.idea/misc.xml", "XML", 9, 0, 0, 0, 0, 0, 0, 9
"/Users/dkphhh/dev/easy-office/.idea/modules.xml", "XML", 8, 0, 0, 0, 0, 0, 0, 8
"/Users/dkphhh/dev/easy-office/.idea/vcs.xml", "XML", 6, 0, 0, 0, 0, 0, 0, 6
"/Users/dkphhh/dev/easy-office/README.md", "Markdown", 0, 0, 24, 0, 0, 0, 10, 34
"/Users/dkphhh/dev/easy-office/easy_office/__init__.py", "Python", 0, 1, 0, 0, 0, 0, 1, 2
"/Users/dkphhh/dev/easy-office/easy_office/archive/display.py", "Python", 0, 150, 0, 0, 0, 4, 38, 192
"/Users/dkphhh/dev/easy-office/easy_office/archive/models.py", "Python", 0, 64, 0, 0, 0, 0, 17, 81
"/Users/dkphhh/dev/easy-office/easy_office/archive/recognize.py", "Python", 0, 635, 0, 0, 0, 17, 57, 709
"/Users/dkphhh/dev/easy-office/easy_office/easy_office.py", "Python", 0, 19, 0, 0, 0, 0, 7, 26
"/Users/dkphhh/dev/easy-office/easy_office/pages/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"/Users/dkphhh/dev/easy-office/easy_office/pages/bank_slip.py", "Python", 0, 245, 0, 0, 0, 2, 39, 286
"/Users/dkphhh/dev/easy-office/easy_office/pages/components/check_password.py", "Python", 0, 84, 0, 0, 0, 0, 14, 98
"/Users/dkphhh/dev/easy-office/easy_office/pages/components/nav_bar.py", "Python", 0, 80, 0, 0, 0, 0, 11, 91
"/Users/dkphhh/dev/easy-office/easy_office/pages/components/template.py", "Python", 0, 11, 0, 0, 0, 0, 1, 12
"/Users/dkphhh/dev/easy-office/easy_office/pages/components/upload_zone.py", "Python", 0, 48, 0, 0, 0, 1, 3, 52
"/Users/dkphhh/dev/easy-office/easy_office/pages/upload_files.py", "Python", 0, 112, 0, 0, 0, 3, 27, 142
"/Users/dkphhh/dev/easy-office/easy_office/pages/vat_invoice.py", "Python", 0, 198, 0, 0, 0, 0, 30, 228
"/Users/dkphhh/dev/easy-office/easy_office/utils/__init__.py", "Python", 0, 1, 0, 0, 0, 0, 1, 2
"/Users/dkphhh/dev/easy-office/easy_office/utils/bank_slip.py", "Python", 0, 171, 0, 0, 0, 13, 36, 220
"/Users/dkphhh/dev/easy-office/easy_office/utils/file_process.py", "Python", 0, 79, 0, 0, 0, 3, 24, 106
"/Users/dkphhh/dev/easy-office/easy_office/utils/invoice.py", "Python", 0, 51, 0, 0, 0, 0, 8, 59
"/Users/dkphhh/dev/easy-office/easy_office/utils/log.py", "Python", 0, 14, 0, 0, 0, 0, 4, 18
"/Users/dkphhh/dev/easy-office/easy_office/utils/request_api.py", "Python", 0, 325, 0, 0, 0, 19, 91, 435
"/Users/dkphhh/dev/easy-office/easy_office/utils/test.py", "Python", 0, 104, 0, 0, 0, 5, 32, 141
"/Users/dkphhh/dev/easy-office/requirements.txt", "pip requirements", 0, 0, 0, 0, 78, 146, 1, 225
"/Users/dkphhh/dev/easy-office/rxconfig.py", "Python", 0, 15, 0, 0, 0, 0, 6, 21
"/Users/dkphhh/dev/easy-office/uv.lock", "toml", 0, 0, 0, 1169, 0, 0, 90, 1259
"Total", "-", 43, 2407, 24, 1169, 78, 213, 549, 4483
